Original, Analysed, Paragraph_Original, Paragraph_Analysed, N_words_Original, N_words_Analysed, N_words_LCS, Score
orig_taske.txt, g4pB_taske.txt, 9, 7, 88, 88, 88, 1.0
orig_taske.txt, g4pB_taske.txt, 10, 8, 83, 71, 71, 0.8554216867469879
orig_taske.txt, g4pB_taske.txt, 1, 9, 34, 22, 8, 0.23529411764705882
orig_taske.txt, g4pC_taske.txt, 1, 1, 34, 38, 31, 0.9117647058823529
orig_taske.txt, g4pC_taske.txt, 2, 2, 81, 81, 79, 0.9753086419753086
orig_taske.txt, g4pC_taske.txt, 4, 3, 86, 134, 70, 0.813953488372093
orig_taske.txt, g4pC_taske.txt, 1, 4, 0, 0, 0, 0
orig_taske.txt, g4pD_taske.txt, 1, 1, 34, 41, 17, 0.5
orig_taske.txt, g4pD_taske.txt, 7, 2, 25, 123, 25, 1.0
orig_taske.txt, g4pD_taske.txt, 9, 3, 88, 81, 68, 0.7727272727272727
orig_taske.txt, g4pD_taske.txt, 1, 4, 0, 0, 0, 0
orig_taske.txt, g4pE_taske.txt, 1, 1, 34, 29, 11, 0.3235294117647059
orig_taske.txt, g4pE_taske.txt, 7, 2, 25, 21, 3, 0.12
orig_taske.txt, g4pE_taske.txt, 2, 3, 81, 183, 29, 0.35802469135802467
orig_taske.txt, g4pE_taske.txt, 1, 4, 0, 0, 0, 0
